0,left,25000,fit,1525,lates,201,expired,0,imbalance,104,low,0,med,0,high,0
DataSet,801,Constraints,0,run,0,fit,1525,lates,201,expired,0,imbalance,104,low,0,med,0,high,0,Evals,250,MiilsEval,1.872,elapsed,468
Plan by week / day 
Week , Day , Driver ID ,Group,Duty,Expiry Week, Final Year
1,4, 1513,LON,2,11,false
1,4, 1620,LON,1,16,true	ON LATE DUTY!
1,4, 1709,LCB,1,1,true	ON LATE DUTY!
1,4, 1742,LCB,1,2,true	ON LATE DUTY!
1,4, 1811,LCB,2,4,false
1,5,   10,OFF,1,3,true	ON LATE DUTY!
1,5,  144,CEN,2,1,false
1,5,  145,CEN,2,7,false
1,5,  178,CEN,2,30,false
1,5,  425,CEN,1,6,true	ON LATE DUTY!
1,5,  823,CEN,2,37,false
1,5, 1194,MAR,2,29,false
1,5, 1207,MAR,1,7,true	ON LATE DUTY!
1,5, 1270,LON,2,34,false
1,5, 1718,LCB,2,1,true
1,5, 1774,LCB,2,12,false
1,5, 1997,EBT,2,10,false
2,1,  117,CEN,2,39,false
2,1,  381,CEN,2,27,true
2,1,  554,CEN,2,34,false
2,1,  642,CEN,1,6,true	ON LATE DUTY!
2,1,  851,MAR,2,2,false
2,1, 1081,MAR,1,8,true	ON LATE DUTY!
2,1, 1113,MAR,2,2,true
2,1, 1425,LON,2,36,false
2,1, 1745,LCB,2,19,false
2,1, 1871,ECB,1,16,true	ON LATE DUTY!
2,1, 1967,EBT,2,32,false
2,2,  302,CEN,2,33,false
2,2,  431,CEN,2,24,false
2,2,  481,CEN,2,33,false
2,2,  647,CEN,2,27,true
2,2,  811,CEN,2,31,false
2,2,  849,MAR,2,4,false
2,2, 1092,MAR,1,4,true	ON LATE DUTY!
2,2, 1204,MAR,2,22,false
2,2, 1264,LON,2,35,false
2,3,  171,CEN,2,10,false
2,3,  589,CEN,2,33,false
2,3,  652,CEN,2,5,false
2,3,  860,MAR,2,24,false
2,3,  869,MAR,1,15,true	ON LATE DUTY!
2,3, 1095,MAR,1,23,true	ON LATE DUTY!
2,3, 1288,LON,2,8,false
2,3, 1388,LON,1,11,true	ON LATE DUTY!
2,3, 1394,LON,2,8,true
2,3, 1706,LCB,2,5,true
2,3, 1907,ECB,2,5,true
2,4,   76,CEN,2,20,true
2,4,  142,CEN,2,12,false
2,4,  345,CEN,1,2,true	ON LATE DUTY!
2,4,  377,CEN,2,15,true
2,4,  384,CEN,2,21,true
2,4,  674,CEN,2,4,false
2,4,  700,CEN,2,30,false
2,4,  716,CEN,1,2,true	ON LATE DUTY!
2,4, 1900,ECB,1,14,true	ON LATE DUTY!
2,4, 1917,ECB,2,39,false
2,4, 1985,EBT,1,3,true	ON LATE DUTY!
2,5,  132,CEN,2,19,false
2,5,  410,CEN,2,10,false
2,5,  525,CEN,2,39,false
2,5,  595,CEN,2,14,false
2,5,  630,CEN,2,2,true
2,5,  712,CEN,2,24,false
2,5,  961,MAR,1,12,true	ON LATE DUTY!
2,5, 1367,LON,1,6,true	ON LATE DUTY!
2,5, 1451,LON,2,11,false
2,5, 1475,LON,2,36,false
2,5, 1481,LON,2,13,true
2,5, 1933,ECB,2,7,true
3,1,  102,CEN,2,36,false
3,1,  701,CEN,2,14,true
3,1,  750,CEN,2,15,false
3,1,  775,CEN,2,6,false
3,1,  819,CEN,1,29,true	ON LATE DUTY!
3,1,  995,MAR,2,5,true
3,1, 1153,MAR,1,5,true	ON LATE DUTY!
3,1, 1433,LON,2,10,false
3,1, 1548,LON,2,33,false
3,1, 1693,LCB,2,6,true
3,1, 1728,LCB,1,5,true	ON LATE DUTY!
3,2,   12,OFF,2,5,true
3,2,   16,OFF,2,5,false
3,2,  391,CEN,2,17,false
3,2,  676,CEN,1,12,true	ON LATE DUTY!
3,2,  681,CEN,1,6,true	ON LATE DUTY!
3,2,  804,CEN,2,10,false
3,2, 1020,MAR,2,7,false
3,2, 1097,MAR,2,25,true
3,2, 1140,MAR,1,6,true	ON LATE DUTY!
3,2, 1563,LON,2,28,false
3,2, 1801,LCB,1,3,true	ON LATE DUTY!
3,3,  305,CEN,1,21,true	ON LATE DUTY!
3,3,  347,CEN,2,3,false
3,3,  400,CEN,2,19,false
3,3,  521,CEN,2,14,false
3,3,  899,MAR,2,29,false
3,3, 1010,MAR,2,33,false
3,3, 1164,MAR,2,24,false
3,3, 1327,LON,2,9,true
3,3, 1729,LCB,2,17,true
3,3, 1910,ECB,2,11,false
3,3, 1974,EBT,1,11,true	ON LATE DUTY!
3,4,   97,CEN,2,33,false
3,4,  311,CEN,2,35,false
3,4,  446,CEN,2,5,true
3,4,  457,CEN,2,34,false
3,4,  941,MAR,2,16,false
3,4, 1208,MAR,1,9,true	ON LATE DUTY!
3,4, 1330,LON,1,4,true	ON LATE DUTY!
3,4, 1378,LON,2,11,true
3,4, 1573,LON,1,22,true	ON LATE DUTY!
3,4, 1657,LON,1,3,true	ON LATE DUTY!
3,4, 1788,LCB,2,26,false
3,4, 2013,EBT,2,5,false
3,5,   13,OFF,2,2,false
3,5,   47,OFF,2,17,false
3,5,  223,CEN,1,26,true	ON LATE DUTY!
3,5,  511,CEN,1,8,true	ON LATE DUTY!
3,5,  697,CEN,2,6,true
3,5,  792,CEN,1,16,true	ON LATE DUTY!
3,5,  807,CEN,2,23,false
3,5, 1117,MAR,2,11,false
3,5, 1266,LON,1,3,true	ON LATE DUTY!
3,5, 1455,LON,2,18,false
3,5, 1751,LCB,1,4,true	ON LATE DUTY!
4,1,   18,OFF,2,14,false
4,1,   49,OFF,2,4,false
4,1,  181,CEN,2,25,true
4,1,  197,CEN,1,9,true	ON LATE DUTY!
4,1,  335,CEN,2,4,true
4,1,  350,CEN,2,7,true
4,1,  902,MAR,2,5,true
4,1, 1478,LON,2,19,true
4,1, 1535,LON,2,3,false
4,1, 1560,LON,2,28,true
4,1, 1565,LON,1,8,true	ON LATE DUTY!
4,1, 1848,ECB,2,15,false
4,2,   73,LMC,2,9,false
4,2,  105,CEN,2,4,false
4,2,  120,CEN,2,13,false
4,2,  227,CEN,2,6,true
4,2,  386,CEN,2,25,false
4,2,  449,CEN,2,16,true
4,2,  483,CEN,2,20,true
4,2,  905,MAR,2,24,false
4,2,  915,MAR,2,9,true
4,2, 1090,MAR,2,37,false
4,2, 1492,LON,2,5,true
4,2, 1977,EBT,1,6,true	ON LATE DUTY!
4,3,  143,CEN,2,12,false
4,3,  372,CEN,1,33,true	ON LATE DUTY!
4,3,  388,CEN,2,17,true
4,3,  540,CEN,2,38,false
4,3,  621,CEN,2,27,true
4,3,  643,CEN,2,5,true
4,3,  669,CEN,2,2,false
4,3,  788,CEN,2,10,true
4,3,  956,MAR,2,13,false
4,3, 1123,MAR,2,4,false
4,3, 1258,LON,2,20,false
4,3, 1506,LON,2,6,false
4,4,  367,CEN,2,31,false
4,4,  379,CEN,2,21,true
4,4,  657,CEN,2,17,false
4,4,  687,CEN,1,5,true	ON LATE DUTY!
4,4,  947,MAR,2,1,false
4,4, 1028,MAR,2,29,false
4,4, 1741,LCB,2,8,false
4,4, 1860,ECB,2,21,true
4,5,  139,CEN,2,7,false
4,5,  248,CEN,1,11,true	ON LATE DUTY!
4,5,  368,CEN,2,14,false
4,5,  382,CEN,2,38,false
4,5,  598,CEN,2,34,false
4,5,  699,CEN,1,12,true	ON LATE DUTY!
4,5,  945,MAR,2,18,false
4,5, 1071,MAR,2,24,false
4,5, 1161,MAR,2,8,false
4,5, 1239,LON,2,8,false
4,5, 1253,LON,2,9,false
4,5, 1495,LON,2,15,true
5,1,  370,CEN,2,25,false
5,1,  376,CEN,2,25,false
5,1, 1144,MAR,2,1,false
5,1, 1177,MAR,2,9,false
5,1, 1227,LON,2,39,false
5,1, 1410,LON,2,6,false
5,1, 1554,LON,2,37,false
5,1, 1736,LCB,2,25,true
5,1, 1886,ECB,2,22,false
5,1, 1915,ECB,2,1,false
5,2,  114,CEN,2,39,false
5,2,  156,CEN,2,14,false
5,2,  161,CEN,2,25,false
5,2,  169,CEN,2,37,false
5,2,  356,CEN,2,12,false
5,2,  748,CEN,1,36,true	ON LATE DUTY!
5,2,  870,MAR,1,10,true	ON LATE DUTY!
5,2,  974,MAR,1,14,true	ON LATE DUTY!
5,2, 1125,MAR,2,24,false
5,2, 1536,LON,2,28,false
5,2, 1787,LCB,2,28,false
5,2, 1803,LCB,2,6,true
5,3,   30,OFF,1,21,true	ON LATE DUTY!
5,3,  262,CEN,2,23,false
5,3,  468,CEN,2,19,false
5,3,  478,CEN,2,24,false
5,3,  803,CEN,2,39,false
5,3, 1093,MAR,2,33,false
5,3, 1242,LON,2,3,false
5,3, 1332,LON,2,4,false
5,3, 1531,LON,2,1,false
5,3, 1796,LCB,2,1,false
5,3, 1814,ECB,2,21,false
5,4,    1,OFF,2,4,false
5,4,  168,CEN,2,38,false
5,4,  228,CEN,2,23,false
5,4,  442,CEN,1,28,true	ON LATE DUTY!
5,4,  495,CEN,2,14,false
5,4,  517,CEN,2,5,false
5,4,  587,CEN,2,35,true
5,4,  619,CEN,2,5,true
5,4, 1283,LON,2,33,false
5,4, 1852,ECB,2,12,true
5,4, 1961,EBT,1,16,true	ON LATE DUTY!
5,5,  107,CEN,1,13,true	ON LATE DUTY!
5,5,  266,CEN,2,25,false
5,5,  719,CEN,2,34,false
5,5,  771,CEN,2,4,false
5,5,  798,CEN,2,2,false
5,5, 1009,MAR,2,22,false
5,5, 1220,MAR,2,34,false
5,5, 1231,LON,2,20,false
5,5, 1477,LON,2,10,true
5,5, 1589,LON,2,16,true
6,1,  205,CEN,2,20,false
6,1,  310,CEN,2,21,true
6,1,  359,CEN,1,11,true	ON LATE DUTY!
6,1,  458,CEN,2,12,false
6,1,  514,CEN,2,8,true
6,1,  564,CEN,2,36,false
6,1,  690,CEN,1,11,true	ON LATE DUTY!
6,1,  963,MAR,2,15,true
6,1, 1048,MAR,2,19,false
6,1, 1356,LON,2,39,true
6,1, 1365,LON,2,28,false
6,1, 1699,LCB,2,37,false
6,2,  254,CEN,2,7,false
6,2,  461,CEN,1,16,true	ON LATE DUTY!
6,2,  510,CEN,2,5,false
6,2,  765,CEN,2,13,false
6,2,  829,MAR,2,7,true
6,2,  875,MAR,2,20,false
6,2, 1646,LON,2,37,false
6,2, 1759,LCB,2,22,true
6,2, 1863,ECB,2,5,false
6,2, 1877,ECB,2,8,false
6,3,  433,CEN,2,10,false
6,3,  463,CEN,2,29,false
6,3,  756,CEN,2,18,false
6,3,  817,CEN,2,24,false
6,3,  897,MAR,2,13,true
6,3, 1018,MAR,1,10,true	ON LATE DUTY!
6,3, 1021,MAR,2,19,false
6,3, 1290,LON,1,11,true	ON LATE DUTY!
6,3, 1465,LON,2,21,false
6,3, 1549,LON,1,10,true	ON LATE DUTY!
6,3, 1838,ECB,2,31,false
6,3, 1970,EBT,2,2,false
6,4,  164,CEN,2,28,false
6,4,  249,CEN,1,27,true	ON LATE DUTY!
6,4,  383,CEN,2,17,true
6,4,  418,CEN,2,30,true
6,4,  437,CEN,1,19,true	ON LATE DUTY!
6,4,  618,CEN,2,6,false
6,4,  627,CEN,1,11,true	ON LATE DUTY!
6,4, 1151,MAR,2,39,false
6,4, 1187,MAR,2,8,false
6,4, 1334,LON,2,1,false
6,4, 1965,EBT,2,18,false
6,5,  343,CEN,2,22,false
6,5,  415,CEN,2,8,false
6,5,  754,CEN,2,35,true
6,5,  970,MAR,1,17,true	ON LATE DUTY!
6,5, 1088,MAR,2,15,false
6,5, 1103,MAR,2,29,false
6,5, 1179,MAR,1,8,true	ON LATE DUTY!
6,5, 1276,LON,1,10,true	ON LATE DUTY!
6,5, 1419,LON,2,7,false
6,5, 1474,LON,2,17,false
6,5, 1896,ECB,2,9,true
7,1,  134,CEN,2,21,false
7,1,  269,CEN,2,20,false
7,1,  327,CEN,2,19,false
7,1,  422,CEN,2,35,false
7,1,  623,CEN,2,15,false
7,1,  916,MAR,2,26,false
7,1, 1197,MAR,2,16,false
7,1, 1255,LON,2,22,false
7,1, 1272,LON,2,23,false
7,1, 1282,LON,2,27,false
7,1, 1357,LON,2,19,false
7,1, 1746,LCB,1,34,true	ON LATE DUTY!
7,2,  172,CEN,2,23,false
7,2,  177,CEN,2,21,false
7,2,  183,CEN,1,23,true	ON LATE DUTY!
7,2,  222,CEN,2,13,false
7,2,  767,CEN,2,29,false
7,2,  980,MAR,2,36,false
7,2, 1111,MAR,2,2,false
7,2, 1156,MAR,2,38,false
7,2, 1446,LON,2,37,true
7,2, 1526,LON,2,8,true
7,2, 1532,LON,1,31,true	ON LATE DUTY!
7,2, 1730,LCB,2,9,false
7,3,  103,CEN,2,11,true
7,3,  218,CEN,2,23,true
7,3,  274,CEN,2,9,false
7,3,  369,CEN,2,26,false
7,3,  538,CEN,2,16,false
7,3,  942,MAR,2,27,false
7,3,  988,MAR,2,9,false
7,3, 1173,MAR,2,9,false
7,3, 1182,MAR,2,33,false
7,3, 1678,LCB,2,32,false
7,3, 1809,LCB,2,19,true
7,3, 1969,EBT,2,20,false
7,4,  290,CEN,2,5,false
7,4,  321,CEN,2,30,false
7,4,  498,CEN,2,33,false
7,4,  519,CEN,2,12,true
7,4,  930,MAR,2,8,true
7,4, 1070,MAR,2,23,false
7,4, 1317,LON,1,12,true	ON LATE DUTY!
7,4, 1415,LON,2,33,false
7,4, 1423,LON,2,34,false
7,4, 1740,LCB,2,16,false
7,4, 1754,LCB,2,10,false
7,4, 1793,LCB,2,28,false
7,5,  373,CEN,1,7,true	ON LATE DUTY!
7,5,  411,CEN,2,36,false
7,5,  528,CEN,1,18,true	ON LATE DUTY!
7,5,  764,CEN,2,38,false
7,5,  934,MAR,2,18,false
7,5, 1017,MAR,1,39,true	ON LATE DUTY!
7,5, 1163,MAR,2,7,false
7,5, 1392,LON,2,8,true
7,5, 1881,ECB,1,32,true	ON LATE DUTY!
8,1,  217,CEN,2,9,false
8,1,  432,CEN,2,31,false
8,1,  490,CEN,2,14,true
8,1,  766,CEN,2,27,false
8,1, 1000,MAR,2,38,false
8,1, 1250,LON,1,31,true	ON LATE DUTY!
8,1, 1404,LON,2,24,true
8,1, 1509,LON,2,39,false
8,1, 1529,LON,2,6,false
8,1, 1756,LCB,2,26,false
8,1, 1776,LCB,2,10,true
8,1, 1971,EBT,1,24,true	ON LATE DUTY!
8,2,  231,CEN,2,4,false
8,2,  285,CEN,2,27,false
8,2,  316,CEN,2,13,false
8,2,  871,MAR,2,20,false
8,2,  998,MAR,2,8,true
8,2, 1013,MAR,2,30,false
8,2, 1284,LON,1,11,true	ON LATE DUTY!
8,2, 1575,LON,2,6,false
8,2, 1853,ECB,2,19,false
8,2, 1937,ECB,1,22,true	ON LATE DUTY!
8,3,  113,CEN,2,30,false
8,3,  129,CEN,2,25,false
8,3,  282,CEN,2,32,false
8,3,  972,MAR,2,34,false
8,3, 1058,MAR,2,31,false
8,3, 1384,LON,1,20,true	ON LATE DUTY!
8,3, 1508,LON,2,14,false
8,3, 1525,LON,2,1,false
8,3, 1628,LON,1,21,true	ON LATE DUTY!
8,4,   89,CEN,1,18,true	ON LATE DUTY!
8,4,  793,CEN,2,10,false
8,4,  929,MAR,2,11,false
8,4, 1004,MAR,2,1,false
8,4, 1215,MAR,2,23,false
8,4, 1243,LON,2,25,false
8,4, 1303,LON,2,25,false
8,4, 1414,LON,2,8,true
8,4, 1431,LON,2,36,false
8,4, 1494,LON,2,32,false
8,4, 1539,LON,2,7,false
8,5,  357,CEN,2,22,false
8,5,  487,CEN,2,33,true
8,5,  488,CEN,2,33,false
8,5,  610,CEN,2,25,false
8,5,  688,CEN,2,35,false
8,5,  815,CEN,2,7,false
8,5, 1141,MAR,2,25,true
8,5, 1301,LON,1,35,true	ON LATE DUTY!
8,5, 1396,LON,2,27,true
8,5, 1656,LON,2,22,false
8,5, 1875,ECB,2,34,false
8,5, 1988,EBT,2,15,true
9,1,   36,OFF,2,33,false
9,1,  185,CEN,2,9,true
9,1,  198,CEN,2,31,false
9,1,  469,CEN,2,23,false
9,1,  606,CEN,2,20,false
9,1,  638,CEN,2,12,true
9,1,  832,MAR,2,36,false
9,1, 1005,MAR,2,15,false
9,1, 1348,LON,2,5,false
9,1, 1731,LCB,2,22,false
9,1, 1834,ECB,2,13,false
9,1, 1890,ECB,2,39,false
9,2,  111,CEN,1,11,true	ON LATE DUTY!
9,2,  184,CEN,2,14,false
9,2,  318,CEN,2,7,false
9,2,  450,CEN,2,31,false
9,2,  530,CEN,2,1,false
9,2,  709,CEN,2,36,true
9,2, 1036,MAR,2,27,false
9,2, 1324,LON,2,22,true
9,2, 1596,LON,1,35,true	ON LATE DUTY!
9,2, 1757,LCB,2,25,false
9,2, 1966,EBT,2,27,false
9,3,   20,OFF,2,26,false
9,3,  635,CEN,2,18,false
9,3,  706,CEN,1,26,true	ON LATE DUTY!
9,3,  726,CEN,2,1,false
9,3,  846,MAR,2,18,false
9,3, 1056,MAR,2,12,false
9,3, 1337,LON,2,33,false
9,3, 1448,LON,2,4,false
9,3, 1507,LON,2,23,false
9,3, 1545,LON,2,9,false
9,3, 1712,LCB,2,9,false
9,4,   21,OFF,2,22,false
9,4,  150,CEN,1,14,true	ON LATE DUTY!
9,4,  220,CEN,1,31,true	ON LATE DUTY!
9,4,  504,CEN,2,27,false
9,4,  769,CEN,2,35,false
9,4,  826,MAR,2,20,true
9,4, 1075,MAR,2,26,false
9,4, 1165,MAR,2,13,false
9,4, 1489,LON,2,8,false
9,4, 2011,EBT,2,35,false
9,5,  423,CEN,2,16,false
9,5,  476,CEN,1,27,true	ON LATE DUTY!
9,5,  565,CEN,1,11,true	ON LATE DUTY!
9,5,  895,MAR,2,12,true
9,5,  997,MAR,2,28,false
9,5, 1147,MAR,1,9,true	ON LATE DUTY!
9,5, 1680,LCB,1,39,true	ON LATE DUTY!
9,5, 1684,LCB,2,35,false
9,5, 1939,ECB,1,10,true	ON LATE DUTY!
10,1,  232,CEN,2,25,false
10,1,  242,CEN,2,26,false
10,1,  250,CEN,2,21,false
10,1,  253,CEN,2,23,false
10,1,  434,CEN,2,25,false
10,1,  919,MAR,2,16,false
10,1,  933,MAR,1,26,true	ON LATE DUTY!
10,1, 1060,MAR,1,11,true	ON LATE DUTY!
10,1, 1274,LON,1,11,true	ON LATE DUTY!
10,1, 1436,LON,2,37,false
10,1, 1591,LON,1,18,true	ON LATE DUTY!
10,1, 1921,ECB,2,9,false
10,2,  385,CEN,1,22,true	ON LATE DUTY!
10,2,  953,MAR,2,2,false
10,2, 1191,MAR,2,10,true
10,2, 1462,LON,2,13,false
10,2, 1583,LON,2,10,false
10,2, 1598,LON,2,20,false
10,2, 1682,LCB,2,14,false
10,2, 1799,LCB,2,10,true
10,2, 1825,ECB,2,16,true
10,2, 1898,ECB,1,27,true	ON LATE DUTY!
10,3,   78,CEN,2,2,false
10,3,  153,CEN,2,22,true
10,3,  470,CEN,2,30,true
10,3,  482,CEN,2,12,false
10,3, 1202,MAR,1,37,true	ON LATE DUTY!
10,3, 1269,LON,2,23,true
10,3, 1362,LON,1,26,true	ON LATE DUTY!
10,3, 1514,LON,2,9,false
10,3, 1625,LON,1,10,true	ON LATE DUTY!
10,3, 1850,ECB,2,35,false
10,3, 1894,ECB,2,21,false
10,4,  479,CEN,2,8,false
10,4,  584,CEN,2,12,false
10,4,  637,CEN,2,22,false
10,4,  821,CEN,2,23,false
10,4,  962,MAR,2,3,false
10,4, 1333,LON,2,24,true
10,4, 1654,LON,2,12,true
10,4, 2012,EBT,2,35,false
10,5,  158,CEN,2,19,true
10,5,  163,CEN,2,5,false
10,5,  210,CEN,2,18,false
10,5,  294,CEN,2,24,true
10,5,  581,CEN,2,26,false
10,5, 1112,MAR,2,9,false
10,5, 1121,MAR,1,11,true	ON LATE DUTY!
10,5, 1261,LON,1,32,true	ON LATE DUTY!
10,5, 1342,LON,2,16,false
10,5, 1624,LON,2,34,false
10,5, 1906,ECB,2,2,false
11,1,    6,OFF,2,23,false
11,1,   50,LMC,2,20,false
11,1,  512,CEN,1,11,true	ON LATE DUTY!
11,1,  639,CEN,2,21,false
11,1,  645,CEN,2,1,false
11,1,  736,CEN,2,2,false
11,1,  969,MAR,2,10,false
11,1, 1109,MAR,2,37,false
11,1, 1450,LON,2,24,true
11,1, 1715,LCB,2,29,true
11,1, 1784,LCB,2,26,false
11,2,  214,CEN,2,38,false
11,2,  251,CEN,2,31,false
11,2,  366,CEN,2,12,false
11,2,  568,CEN,2,11,false
11,2,  656,CEN,2,20,false
11,2,  985,MAR,2,14,false
11,2, 1116,MAR,2,1,false
11,2, 1421,LON,2,20,false
11,2, 1743,LCB,2,9,false
11,2, 1893,ECB,2,31,true
11,3,  157,CEN,2,30,false
11,3,  466,CEN,2,24,false
11,3,  675,CEN,1,23,true	ON LATE DUTY!
11,3,  717,CEN,2,8,false
11,3,  960,MAR,2,23,true
11,3, 1143,MAR,2,7,false
11,3, 1174,MAR,1,28,true	ON LATE DUTY!
11,3, 1374,LON,2,3,false
11,3, 1618,LON,2,23,false
11,4,   15,OFF,2,35,false
11,4,  167,CEN,2,18,true
11,4,  215,CEN,2,25,false
11,4,  258,CEN,2,19,false
11,4,  834,MAR,2,16,false
11,4,  890,MAR,2,3,false
11,4, 1166,MAR,1,21,true	ON LATE DUTY!
11,4, 1240,LON,2,33,true
11,4, 1280,LON,2,28,true
11,4, 1461,LON,2,36,false
11,4, 1551,LON,2,20,false
11,4, 1601,LON,2,18,false
11,5,   17,OFF,2,33,true
11,5,  196,CEN,2,15,false
11,5,  484,CEN,2,17,false
11,5,  715,CEN,2,19,true
11,5,  782,CEN,2,27,false
11,5, 1011,MAR,2,25,false
11,5, 1137,MAR,2,27,false
11,5, 1230,LON,2,28,false
11,5, 1285,LON,2,24,false
11,5, 1366,LON,2,35,false
11,5, 1470,LON,2,2,false
11,5, 1675,LCB,2,27,false
12,1,   95,CEN,2,12,true
12,1,  190,CEN,2,19,true
12,1,  333,CEN,2,35,false
12,1,  779,CEN,2,37,true
12,1,  806,CEN,2,37,false
12,1, 1160,MAR,2,14,false
12,1, 1247,LON,2,5,false
12,1, 1658,LON,2,1,false
12,1, 1846,ECB,2,27,false
12,2,   22,OFF,2,23,true
12,2,  133,CEN,2,11,false
12,2,  280,CEN,2,16,false
12,2,  348,CEN,2,31,false
12,2,  593,CEN,2,18,false
12,2,  685,CEN,2,27,false
12,2,  772,CEN,2,12,true
12,2,  955,MAR,1,29,true	ON LATE DUTY!
12,2, 1138,MAR,2,12,false
12,2, 1267,LON,2,36,false
12,3,  203,CEN,2,2,false
12,3,  773,CEN,2,34,false
12,3,  810,CEN,1,39,true	ON LATE DUTY!
12,3,  887,MAR,2,38,false
12,3, 1025,MAR,2,17,false
12,3, 1251,LON,2,5,false
12,3, 1716,LCB,2,18,false
12,3, 1882,ECB,2,29,false
12,3, 1936,ECB,2,21,true
12,4,  861,MAR,2,21,false
12,4,  906,MAR,2,30,false
12,4,  928,MAR,2,24,false
12,4, 1052,MAR,2,9,false
12,4, 1325,LON,1,12,true	ON LATE DUTY!
12,4, 1484,LON,2,32,false
12,4, 1581,LON,2,39,false
12,4, 1891,ECB,1,21,true	ON LATE DUTY!
12,5,  240,CEN,2,20,false
12,5,  644,CEN,2,27,false
12,5,  665,CEN,2,32,false
12,5,  842,MAR,2,36,false
12,5,  931,MAR,2,26,true
12,5,  966,MAR,2,22,true
12,5, 1254,LON,2,21,true
12,5, 1259,LON,2,24,false
12,5, 1927,ECB,2,31,false
12,5, 1930,ECB,2,24,false
13,1,   29,OFF,2,18,false
13,1,  211,CEN,2,34,false
